"term","regex","class","notes","concept_id","preferred_label","original_term","original_class","abc_role","abc_subrole","domain","concept_family","node_level","analysis_tier","atlas_layer","include_primary","primary_atlas_eligible","retain_reason","interpretation_note","regex_qc_action","corpus_hit_n","corpus_hit_pct","example_pmids"
"VCAM1","(?i:(?:\b(VCAM-?1|vascular\s*cell\s*adhesion\s*molecule\s*1)\b)|(?:(vascular\s*cell\s*adhesion\s*molecule)))","biomarker","endothelial activation; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_084","VCAM1","VCAM1","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","endothelial_activation","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",1,0.07,"36601584"
"ICAM1","(?i:(?:\b(ICAM-?1|intercellular\s*adhesion\s*molecule\s*1)\b)|(?:(intercellular\s*adhesion\s*molecule)))","biomarker","endothelial activation; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_085","ICAM1","ICAM1","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","endothelial_activation","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",2,0.13,"37569893;18832606"
"ADMA","(?i:(?:\b(asymmetric\s*dimethylarginine|\bADMA\b)\b)|(?:(asymmetric\s*N\s*,?\s*N\s*-?dimethylarginine)))","biomarker","endothelial dysfunction; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_086","ADMA","ADMA","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","endothelial_dysfunction","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",1,0.07,"36601584"
"HE4","(?i:(?:\b(HE4|WFDC2|human\s*epididymis\s*protein\s*4)\b)|(?:(human\s*epididymis\s*protein\s*4|WFDC\s*2)))","biomarker","epithelial secretory; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_087","HE4","HE4","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","epithelial_biomarker","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",4,0.27,"35413677;35349410;34765622"
"anti_HSP90cit","(?i:(auto)?antibod(?:y|ies).{0,15}(citrullinated\s*)?HSP\s*90)","biomarker","RA-ILD specific autoantibody; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_088","anti HSP90cit","anti_HSP90cit","biomarker","A","A_serological_phenotype","serological_host_factor","RA_ILD_autoantibody","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Serological host phenotype in the ABC framework; may also be summarised in biomarker/serology atlas layers.","inline_flags_normalized",1,0.07,"25150019"
"CTGF_CCN2","(?i:(?:\b(CTGF|CCN2|connective\s*tissue\s*growth\s*factor)\b)|(?:(connective\s*tissue\s*growth\s*factor|CCN\s*2)))","molecular","matricellular; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_089","CTGF CCN2","CTGF_CCN2","molecular","B","B_molecular_pathway","molecular_pathway","profibrotic_pathway","specific","exploratory","exploratory","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",2,0.13,"33389316;19054818"
"WNT_beta_catenin","(?i:(?:\b(WNT|beta[-\s]?catenin|CTNNB1)\b)|(?:(WNT/β?-?catenin|canonical\s*WNT)))","molecular","developmental; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_090","WNT beta catenin","WNT_beta_catenin","molecular","B","B_molecular_pathway","molecular_pathway","profibrotic_pathway","specific","exploratory","exploratory","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",2,0.13,"40640919;31072629"
"PAI1_SERPINE1","(?i:(?:\b(PAI-?1|SERPINE1|plasminogen\s*activator\s*inhibitor\s*1)\b)|(?:(SERPINE\s*1|plasminogen\s*activator\s*inhibitor\s*1)))","molecular","fibrinolysis; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_091","PAI1 SERPINE1","PAI1_SERPINE1","molecular","B","B_molecular_pathway","molecular_pathway","profibrotic_pathway","specific","exploratory","exploratory","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",0,0,""
"Endothelin1","(?i:(?:\b(endothelin[-\s]?1|\bEDN1\b)\b)|(?:(ET-?1|preproendothelin)))","molecular","vasoactive profibrotic; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_092","Endothelin1","Endothelin1","molecular","B","B_molecular_pathway","molecular_pathway","vascular_profibrotic_pathway","specific","exploratory","exploratory","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",3,0.2,"41101787;37569893;36674789"
"SPP1_osteopontin","(?i:(?:\b(osteopontin|SPP1)\b)|(?:(secreted\s*phosphoprotein\s*1)))","molecular","profibrotic; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_093","SPP1 osteopontin","SPP1_osteopontin","molecular","B","B_molecular_pathway","molecular_pathway","profibrotic_pathway","specific","exploratory","exploratory","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",2,0.13,"27149370;23405989"
"Galectin3","(?i:(?:\b(galectin-?3|LGALS3)\b)|(?:(LGALS\s*3|Mac-2)))","molecular","profibrotic; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_094","Galectin3","Galectin3","molecular","B","B_molecular_pathway","molecular_pathway","profibrotic_pathway","specific","exploratory","exploratory","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",1,0.07,"24981072"
"Periostin","(?i:(?:\b(periostin|POSTN)\b)|(?:(POSTN)))","molecular","matrix; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_095","Periostin","Periostin","molecular","B","B_molecular_pathway","molecular_pathway","profibrotic_matrix","specific","exploratory","exploratory","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",2,0.13,"38571583;38002712"
"CC16_SCGB1A1","(?i:(?:\b(CC16|club\s*cell\s*secretory\s*protein|SCGB1A1)\b)|(?:(club\s*cell\s*protein\s*16|uteroglobin)))","biomarker","airway epithelium; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_096","CC16 SCGB1A1","CC16_SCGB1A1","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","airway_epithelial_biomarker","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",0,0,""
"SP_A","(?i:\b(?:SP[-\s]A|surfactant\s*protein\s*A)\b)","biomarker","alveolar epithelium; merged_var_regex; v2_qc: Requires SP-A or SP A/full phrase; removes unhyphenated SPA and SFTPA1/SFTPA2 to avoid SpA/gene overlap.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_097","Surfactant protein A","SP_A","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","epithelial_injury_biomarker","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",3,0.2,"27758986;26666486;12745458"
"neutrophil_cell","(?i:\b(neutrophil[s]?)\b)","cell","innate; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_098","neutrophil cell","neutrophil_cell","cell","B","B_cellular_process","cellular_process","immune_cell","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",63,4.22,"41515608;41088837;40849891"
"Th17_cell","(?i:\b(Th17)\b)","cell","adaptive; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_099","Th17 cell","Th17_cell","cell","B","B_cellular_process","cellular_process","immune_cell","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",8,0.54,"40071296;39303666;39283681"
"Treg_cell","(?i:\b(Treg[s]?|regulatory\s*T\s*cell[s]?)\b)","cell","adaptive; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_100","Treg cell","Treg_cell","cell","B","B_cellular_process","cellular_process","immune_cell","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",8,0.54,"40590161;40071296;39690757"
"B_cell","(?i:\b(B\s*cell[s]?|CD19\+|CD20\+)\b)","cell","adaptive; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_101","B cell","B_cell","cell","B","B_cellular_process","cellular_process","immune_cell","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",30,2.01,"41052072;40849891;40590161"
"M2_macrophage","(?i:\b(M2[-\s]?macrophage[s]?|CD163\+|CD206\+)\b)","cell","repair/profibrotic; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_102","M2 macrophage","M2_macrophage","cell","B","B_cellular_process","cellular_process","immune_cell","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",6,0.4,"40270956;40181990;39283681"
"fibrocyte_cell","(?i:\b(fibrocyte[s]?)\b)","cell","stromal precursor; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_103","fibrocyte cell","fibrocyte_cell","cell","B","B_cellular_process","cellular_process","stromal_cell","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",4,0.27,"34059186;33674419;28720095"
"iBALT_TLS","(?i:\b(iBALT|inducible\s+bronchus[-\s]?associated\s+lymphoid\s+tissue|tertiary\s+lymphoid\s+(structure|follicle)s?)\b)","cell","ectopic lymphoid; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_104","iBALT TLS","iBALT_TLS","cell","B","B_cellular_process","cellular_process","lymphoid_structure","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",0,0,""
"Cytokine_inflammation","(?i:\b(?:IL[-\s]?(?:1|6|10|17|18|23)|TNF(?:[-\s]?(?:α|alpha))?|IFN(?:[-\s]?(?:γ|gamma))?|TGF(?:[-\s]?(?:β|beta))?|CXCL\d+|CCL\d+)\b)","molecular","aggregated cytokine signature; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_105","Cytokine inflammation","Cytokine_inflammation","molecular","B","B_molecular_pathway","molecular_pathway","aggregate_inflammation_pathway","aggregate","sensitivity","sensitivity","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",123,8.24,"41132540;40906346;40863428"
"Fibrosis_pathway","(?i:\b(?:TGF(?:[-\s]?(?:β|beta))?|Smad|α\s*SMA|alpha\s*SMA|collagen|fibronectin|periostin|CTGF|MMP\d*|YAP|TAZ)\b)","molecular","fibrosis signaling; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_106","Fibrosis pathway","Fibrosis_pathway","molecular","B","B_molecular_pathway","molecular_pathway","aggregate_fibrosis_pathway","aggregate","sensitivity","sensitivity","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",138,9.24,"41392523;41314131;41143689"
"Immune_checkpoint","(?i:\b(?:PD[-\s]?1|PD[-\s]?L1|CTLA[-\s]?4?|TIM[-\s]?3|LAG[-\s]?3)\b)","molecular","checkpoint molecules; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_107","Immune checkpoint","Immune_checkpoint","molecular","B","B_molecular_pathway","molecular_pathway","aggregate_checkpoint_pathway","aggregate","sensitivity","sensitivity","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",7,0.47,"40590161;40244816;39110383"
"Nrf2_KEAP1","(?i:\b(?:NRF2|NFE2L2|KEAP1|Nrf2\s*pathway|antioxidant\s*response\s*element)\b)","molecular","oxidative-stress response master regulator; merged_var_regex; safe_complete_patch_20260519; tightened; Removed standalone ARE token, which can become the common English word “are” under case-insensitive matching; retained full antioxidant response element phrase.; v2_qc: Merged Nrf2_KEAP1_var into Nrf2_KEAP1. Also absorbs removed duplicate Nrf2_KEAP1_var.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_108","Nrf2 KEAP1","Nrf2_KEAP1","molecular","B","B_molecular_pathway","molecular_pathway","oxidative_stress_pathway","specific","exploratory","exploratory","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",1,0.07,"36574898"
"Oxidative_stress_pathway","(?i:\b(?:NRF2|NFE2L2|KEAP1|GPX\d*|SOD\d*|catalase|MPO|4[-\s]?HNE|8[-\s]?OHdG|oxidative\s+stress|oxidant\s+stress|reactive\s+oxygen\s+species|malondialdehyde)\b)","molecular","ROS/oxidative stress signature (word-bounded); safe_complete_patch_20260519; tightened; Removed standalone ROS token and replaced it with the full phrase reactive oxygen species; also avoided standalone MDA in the aggregate pathway.; v2_qc: No standalone ROS token; retains full phrase reactive oxygen species and specific oxidative markers to avoid substring/abbreviation errors.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_109","Oxidative stress pathway","Oxidative_stress_pathway","molecular","B","B_molecular_pathway","molecular_pathway","aggregate_oxidative_stress_pathway","aggregate","sensitivity","sensitivity","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",27,1.81,"41392523;41132540;40885085"
"FVC_decline","(?i:(?:\b(?:FVC|forced\s+vital\s+capacity)(?:\s*\([^)]{0,25}\))?\b\s*(?:%?\s*predicted|absolute\s+value)?\s*(?:declin(?:e|ed|ing)|decreas(?:e|ed|ing)|reduc(?:e|ed)|drop(?:ped)?|worsen(?:ed|ing)|deteriorat(?:e|ed|ion))\b|\b(?:declin(?:e|ed|ing)|decreas(?:e|ed|ing)|reduc(?:e|ed|tion)|drop(?:ped)?|worsen(?:ed|ing)|deteriorat(?:e|ed|ion))\b\s+(?:in|of|from|over|mean|predicted|absolute\s+value)?(?:\s+\w+){0,4}\s*\b(?:FVC|forced\s+vital\s+capacity)\b|\b(?:FVC|forced\s+vital\s+capacity)\s+(?:decline|decrease|reduction|drop|worsening|deterioration)\b))","outcome","functional outcome; complete_from_abstract_20260504; updated; old_regex=(FVC AND decline); abstract_n=61/1493; replace placeholder (FVC AND decline) with executable proximity regex; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_110","FVC decline","FVC_decline","outcome","C","C_progression_component","clinical_outcome","functional_decline","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Progression-related outcome component, not a B-level physiologic bridge.","tightened_or_merged",34,2.28,"41598167;41480883;41410579"
"DLCO_decline","(?i:(?:\b(?:DLCO|DL_CO|TLCO|diffusing\s+capacity\s+for\s+carbon\s+monoxide)(?:\s*\([^)]{0,25}\))?\b\s*(?:%?\s*predicted|absolute\s+value)?\s*(?:declin(?:e|ed|ing)|decreas(?:e|ed|ing)|reduc(?:e|ed)|drop(?:ped)?|worsen(?:ed|ing)|deteriorat(?:e|ed|ion))\b|\b(?:declin(?:e|ed|ing)|decreas(?:e|ed|ing)|reduc(?:e|ed|tion)|drop(?:ped)?|worsen(?:ed|ing)|deteriorat(?:e|ed|ion))\b\s+(?:in|of|from|over|mean|predicted|absolute\s+value)?(?:\s+\w+){0,5}\s*\b(?:DLCO|DL_CO|TLCO|diffusing\s+capacity\s+for\s+carbon\s+monoxide)\b|\b(?:DLCO|DL_CO|TLCO|diffusing\s+capacity\s+for\s+carbon\s+monoxide)\s+(?:decline|decrease|reduction|drop|worsening|deterioration)\b))","outcome","functional outcome; complete_from_abstract_20260504; updated; old_regex=(DLCO AND decline); abstract_n=39/1493; replace placeholder (DLCO AND decline) with executable proximity regex; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_111","DLCO decline","DLCO_decline","outcome","C","C_progression_component","clinical_outcome","functional_decline","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Progression-related outcome component, not a B-level physiologic bridge.","tightened_or_merged",17,1.14,"40565330;40117729;39797328"
"PPF","(?i:\b(PPF|progressive\s+pulmonary\s+fibrosis)\b)","outcome","vNext: PPF terminology; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_112","Progressive pulmonary fibrosis","PPF","outcome","C","C_progression_component","clinical_outcome","progression","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Progression-related outcome component, not a B-level physiologic bridge.","inline_flags_normalized",17,1.14,"41598167;41399072;41283570"
"PF_ILD","(?i:\b(PF-?ILD|progressive\s+fibrosing\s+interstitial\s+lung\s+disease)\b)","outcome","vNext: PF-ILD terminology; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_113","Progressive fibrosing ILD","PF_ILD","outcome","C","C_progression_component","clinical_outcome","progression","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Progression-related outcome component, not a B-level physiologic bridge.","inline_flags_normalized",12,0.8,"40591000;38226064;38002655"
"AE_interstitial_pneumonia","(?i:\b(acute\s+exacerbation\s+of\s+interstitial\s+(pneumonia|lung\s+disease))\b)","outcome","vNext: AE wording; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_114","AE interstitial pneumonia","AE_interstitial_pneumonia","outcome","C","C_AE_ILD_synonym_or_component","clinical_outcome","AE_ILD","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","AE-ILD-related outcome wording retained to improve outcome coverage and harmonisation.","inline_flags_normalized",12,0.8,"40617175;40192850;37691925"
"acute_respiratory_deterioration","(?i:\b(acute\s+respiratory\s+deterioration)\b)","outcome","vNext: AE synonym (avoid ARD acronym); v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_115","acute respiratory deterioration","acute_respiratory_deterioration","outcome","C","C_AE_ILD_synonym_or_component","clinical_outcome","AE_ILD","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","AE-ILD-related outcome wording retained to improve outcome coverage and harmonisation.","inline_flags_normalized",3,0.2,"35032476;19947998;19181509"
"mosaic_attenuation","(?i:\b(mosaic\s+attenuation)\b)","radiology","vNext: small airways / ventilation heterogeneity; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_116","mosaic attenuation","mosaic_attenuation","radiology","B","B_imaging_or_pattern","radiology_feature","airway_radiology","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",1,0.07,"39343293"
"air_trapping","(?i:\b(air\s+trapping)\b)","radiology","vNext: small airways; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_117","air trapping","air_trapping","radiology","B","B_imaging_or_pattern","radiology_feature","airway_radiology","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",9,0.6,"40959170;30411520;27908307"
"tree_in_bud","(?i:\b(tree[-\s]?in[-\s]?bud)\b)","radiology","vNext: bronchiolitis pattern; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_118","tree in bud","tree_in_bud","radiology","B","B_imaging_or_pattern","radiology_feature","airway_radiology","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",0,0,""
"follicular_bronchiolitis","(?i:\b(follicular\s+bronchiolitis)\b)","airway","vNext: RA-associated airway disease; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_119","follicular bronchiolitis","follicular_bronchiolitis","airway","B","B_airway_disease","airway_disease","airway_disease","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",8,0.54,"32616807;32385026;30385646"
"bronchiolitis","(?i:\b(?:constrictive\s+bronchiolitis|obliterative\s+bronchiolitis|bronchiolitis\s+obliterans(?!\s+organizing\s+pneumonia)|cellular\s+bronchiolitis|small[-\s]?airway\s+bronchiolitis|bronchiolitis\s+(?:pattern|features?|lesions?|diagnosis))\b)","airway","vNext: airway inflammation; v2_qc: Restricted generic bronchiolitis to named airway-pattern contexts and prevents BOOP/bronchiolitis-obliterans-organizing-pneumonia overlap.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_120","bronchiolitis","bronchiolitis","airway","B","B_airway_disease","airway_disease","airway_disease","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",17,1.14,"40959170;39279113;39136242"
"PPFE","(?i:\b(PPFE|pleuroparenchymal\s+fibroelastosis)\b)","pattern","vNext: fibrosing phenotype; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_121","PPFE","PPFE","pattern","B","B_imaging_or_pattern","radiographic_or_pathologic_pattern","ILD_pattern","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",4,0.27,"37612098;35655303;31484917"
"LIP","(?:\bLIP\b|(?i:\blymphocytic\s+interstitial\s+pneumoni(?:a|tis)\b))","pattern","vNext: lymphoid ILD pattern; v2_patch: uppercase-only acronym; avoids general-word false positives; safe_complete_patch_20260519; tightened; Removed standalone LIP acronym; retained full ILD pattern phrase.; v2_qc: Allowed uppercase LIP acronym only plus full phrase; avoids lower-case lip word matches.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_122","LIP","LIP","pattern","B","B_injury_or_pattern_descriptor","radiographic_or_pathologic_pattern","ILD_pattern","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",26,1.74,"40852743;40565330;40197179"
"DAD","(?:\bDAD\b|(?i:\bdiffuse\s+alveolar\s+damage\b))","pattern","vNext: acute lung injury pathology; v2_patch: uppercase-only acronym; avoids general-word false positives; safe_complete_patch_20260519; tightened; Removed standalone DAD acronym; retained full pathology phrase.; v2_qc: Allowed uppercase DAD acronym only plus full phrase; avoids lower-case dad word matches.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_123","DAD","DAD","pattern","B","B_injury_or_pattern_descriptor","radiographic_or_pathologic_pattern","acute_lung_injury_pattern","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",9,0.6,"36104017;29413504;20884744"
